year,total_admissions,female_admissions,male_admissions,violent_admissions,drug_admissions,property_admissions,public_order_admissions,other_admissions,owi_admissions,average_age_at_admission,average_months_served
2010,4205,488,3717,1022,1050,1201,716,216,442,33.02,21.94
2011,4477,534,3943,1009,1195,1252,780,241,467,32.99,19.63
2012,4590,574,4015,1024,1296,1258,761,251,454,33.58,18.96
2013,4560,597,3963,1034,1210,1281,733,302,387,33.08,18.02
2014,4851,660,4191,1101,1331,1407,697,315,348,33.70,17.81
2015,4672,723,3949,1100,1246,1292,706,328,354,33.73,17.02
2016,4973,748,4225,1105,1313,1493,683,379,340,33.85,16.10
2017,5155,800,4355,1226,1387,1435,747,360,359,33.86,16.80
2018,5116,714,4402,1188,1284,1493,705,446,295,34.43,15.80
2019,5460,772,4688,1295,1395,1539,820,411,325,34.52,15.48
2020,4731,663,4068,1027,1187,1398,635,484,249,34.78,17.89
2021,3450,404,3046,913,782,914,458,383,166,34.87,19.45
2022,4016,474,3542,1160,915,988,502,451,199,36.28,18.16
2023,4088,478,3610,1212,921,988,549,418,224,36.31,16.45
2024,4307,522,3785,1271,948,982,588,518,201,36.88,14.36
2025,4223,538,3685,1210,944,928,596,545,212,37.53,9.41
2026,1826,262,1564,530,398,408,288,202,100,37.70,2.85